block_uuid,block_name,block_norm,district_name,district_norm,vintage,centroid_lon,centroid_lat
0d957952-c96a-4c05-b360-e40fdf32ac20,PILIBANGA,PILIBANGA,HANUMANGARH,HANUMANGARH,2021,74.05930887853113,29.473804527746417
6883b002-d8f7-4432-a611-a03468b94f57,BIKANER_RURAL,BIKANER RURAL,BIKANER,BIKANER,2021,73.38042942874694,28.082922710938703
bda9bdd6-473f-4d88-a84f-c227ea26a395,DESURI,DESURI,PALI,PALI,2021,73.53657624933156,25.30177265152478
cb3763d1-bc74-40a0-a26a-2114f7f6ab08,SAM,SAM,JAISALMER,JAISALMER,2019,70.42410129862847,26.99086325309282
584adef4-efe6-400b-baed-cf672c58d7bd,GHATOL,GHATOL,BANSWARA,BANSWARA,2019,74.40062749792499,23.764240177310093
b646a97b-9774-4d9a-b54f-5fb786382f7d,SUJANGARH,SUJANGARH,CHURU,CHURU,2019,74.46345050773834,27.737865289134717
515d5cd0-d510-4fcd-94ae-f1b2e422f966,GUDHAMALANI,GUDHAMALANI,BARMER,BARMER,2019,71.70544515236627,25.268693480520923
592c9d6f-af63-40a5-a7b5-f0049fc431d1,DESURI,DESURI,PALI,PALI,2019,73.5365762731419,25.30177266187492
20f05ef5-2186-47c9-8aea-5a28655d35c1,DAUSA,DAUSA,DAUSA,DAUSA,2021,76.35900827458595,26.940708473265804
f3ba1cd5-dbed-4198-9d0d-168f6818c028,KHAJUWALA,KHAJUWALA,BIKANER,BIKANER,2019,72.74487277364432,28.511341557298287
e04f29e3-b8ce-4539-a292-d0eddd52935b,KISHANGANJ,KISHANGANJ,BARAN,BARAN,2019,76.75282164233691,25.11674119449664
4734644c-76e8-4d71-9a02-f81b1c4975f7,RAMSAR,RAMSAR,BARMER,BARMER,2019,70.9312382717226,25.693144742310814
04f32a90-e2e9-4ddf-8261-1c1d2369e6fb,KAMAN,KAMAN,BHARATPUR,BHARATPUR,2021,77.25291121237271,27.676105092386468
e5554b1d-4da1-463e-bbb0-ce8f03f22780,BILARA,BILARA,JODHPUR,JODHPUR,2021,73.61912186134595,26.220787751086036
72d350d8-d238-4252-a7d8-c74ae2a1d474,KAPASAN,KAPASAN,CHITTAURGARH,CHITTAURGARH,2021,74.35042295897173,24.862417767814485
9e59f030-2865-4ec1-817a-acc7c6ec61ba,NEEMRANA,NEEMRANA,ALWAR,ALWAR,2021,76.37583666925349,28.046072445620865
e9d199a0-cfac-4e9c-98f1-77ed77ec5df2,BASERI,BASERI,DHAULPUR,DHAULPUR,2019,77.44716003400906,26.588074639744594
d58e7106-5b24-48b7-81d8-374e5d0495ed,SAYRA,SAYRA,UDAIPUR,UDAIPUR,2019,73.43500330760557,24.927286050407503
